一级模块,二级模块,三级模块,编号,标题,前置条件,类型,步骤,预期结果,创建人,创建时间,更新人,更新时间
软件1,触发信息管理模块,,C24,外部触发-显示,具备操作权限,步骤,"1.点击“外部触发”菜单
2.检查表格
3.点击表头排序按钮
4.点击表格的“触发编号“链接
5.点击表格的分页按钮，检查分页功能
6.检查查询控件
7.输入查询条件，进行单项查询，混合查询","1.进入相应界面
2.数据列包括“触发编号，触发时间，卫星，赤经，
赤纬，定位误差，触发类型，显著性，触发接收时间，操作”。表格数据显示正确
3.排序功能正常
4.看到详细信息界面，包括“触发编号，触发时间，探测器，NOTICE发送时间，NOTICE类型，赤经，赤纬，定位误差，PHI，THETA
能量范围，触发类型，显著性，光变曲线URL，定位URL，触发事件url，触发接收时间，是否发送”
5.分页功能正常
6.查询控件包括：触发编号，卫星（下拉框：空、A星、B星），触发时间（时间控件-时间段）；触发编号为模糊查询
7.查询结果正确，查询条件显示正常",oug,2019/10/18 9:40,张鹏,2019/11/26 14:15
软件1,触发信息管理模块,,C31,星上触发-显示,具备操作权限,步骤,"1.点击“星上触发”菜单
2.检查表格
3.点击表头排序按钮
4.点击表格的“触发编号“链接
5.点击表格的分页按钮，检查分页功能
6.检查查询控件
7.输入查询条件，进行单项查询，混合查询","1.进入相应界面
2.数据列包括“触发编号	卫星	触发时间	UTC时间	触发类型	定位区域	发送结果	发送时间	上传结果	上传时间	重定位结果”。表格数据显示正确
3.排序功能正常
4.看到详细信息界面，包括“触发时间
卫星编号
触发编号
触发算法组合编号
探测器触发状态码
触发显著性最高的GRD探测器
触发显著性最高的GRD探测器的显著性
星上定位RA
星上定位Dec
星上定位误差
入射角度theta
入射角度phi
触发分类
触发显著性最高的3个GRD探测器总计数谱
触发显著性最高的3个GRD探测器本底计数
8个CPD总计数
8个CPD总本底计数
触发时刻卫星经度
触发时刻卫星纬度
触发时刻卫星姿态
短报文定位RA
短报文定位Dec
短报文定位误差
处理结果存储路径
”
5.分页功能正常
6.查询控件包括：触发编号，卫星（下拉框：空、A星、B星），触发时间（时间控件-时间段）；触发编号为模糊查询
7.查询结果正确，查询条件显示正常",张鹏,2019/11/12 15:08,张鹏,2019/11/26 14:20
软件1,触发信息管理模块,,C32,日月星历,具备操作权限,步骤,"1.点击“日月星历”菜单
2.检查表格
3.点击表头排序按钮
4.点击分页按钮，检查分页功能
5.检查查询控件
6.输入查询条件，进行单项查询，混合查询","1.进入相应界面
2.数据列包括“文件类型	开始时间	结束时间	时间间隔	文件路径	文件名”。表格数据显示正确
3.排序功能正常
4.分页功能正常
5.检查查询条件：文件类型，时间（时间控件-时间段）
6.查询结果正确，查询条件显示正常",张鹏,2019/11/12 15:10,张鹏,2019/11/26 14:25
软件1,触发信息管理模块,,C33,爆发信息,具备操作权限,步骤,"1.点击“爆发信息”菜单
2.检查表格
3.点击表头排序按钮
4.点击分页按钮，检查分页功能
5.检查查询控件
6.输入查询条件，进行单项查询，混合查询","1.进入相应界面
2.数据列包括“爆发ID	A星触发ID	B星触发ID	A星定位结果	B星定位结果	联合定位结果”。表格数据显示正确
3.排序功能正常
4.分页功能正常
5.查询控件包括：爆发ID
6.查询结果正确，查询条件显示正常",张鹏,2019/11/12 15:13,张鹏,2019/11/26 14:27
软件1,触发信息管理模块,,C34,北斗短报文,具备操作权限,步骤,"1.点击“北斗短报文”菜单
2.检查表格
3.点击表头排序按钮
4.检查查询控件
5.输入查询条件，进行单项查询
6.点击分页按钮，检查分页功能","1.进入相应界面
2.数据列包括“卫星	创建时间	修改时间	状态	接收时间	触发时间	触发编号	报文序号	报文条数	报文内容	是否发送”。表格数据显示正确
3.排序功能正常
4.查询控件包括：卫星
5.查询结果正确，查询条件显示正常
6.分页功能正常",张鹏,2019/11/12 15:14,张鹏,2019/11/26 14:28
软件1,触发信息管理模块,,C35,短报文详细时间,具备操作权限,步骤,"1.点击“短报文详细时间”菜单
2.检查表格
3.点击表头排序按钮
4.检查查询控件
5.输入查询条件，进行单项查询
6.点击分页按钮，检查分页功能","1.进入相应界面
2.数据列包括“卫星	创建时间	修改时间	状态	接收时间	触发时间	触发编号	报文序号	报文内容	是否发送”。表格数据显示正确
3.排序功能正常
4.查询控件包括：卫星，触发时间（时间控件-时间段）；触发编号为模糊查询
5.查询结果正确，查询条件显示正常
6.分页功能正常",张鹏,2019/11/12 15:17,张鹏,2019/11/26 14:29
软件2,系统管理模块,,C157,字典管理-添加,1.具备操作权限 2.进入相应的显示界面,步骤,"1.点击“添加”按钮
2.检查界面控剪
3.设置必填项为空，点击“确定”按钮
4.填写正确信息，点击“确定”按钮
5.检查新添加的信息是否正确","1.弹窗显示待添加信息
2.控件完整，无缺漏
3.系统提示必填项未填写
4.弹窗消失，数据添加成功，显示列表包含最新添加的信息
5.信息添加准确无误",张鹏,2019/11/14 21:13,张鹏,2019/11/14 21:14
软件2,系统管理模块,,C158,字典管理-修改,1.具备操作权限 2.进入相应的显示界面,步骤,"1.点击“修改”链接
2.检查界面控件
3.检测原始信息是否正确显示
4.设置必填项为空，点击“确定”按钮
5.填写正确信息，点击“确定”按钮
6.检测信息是否更新","1.弹窗显示待添加信息
2.控件完整，无缺漏
3.原始信息显示正确
4.系统提示必填项未填写
5.弹窗消失，数据添加成功，显示列表包含更新后的信息
6.信息已更新",张鹏,2019/11/14 21:13,张鹏,2019/11/14 21:14
软件2,系统管理模块,,C159,字典管理-删除,1.具备操作权限 2.进入相应的显示界面,步骤,"1.点击“删除”链接
2.“确认删除提示框”中点击“确定”按钮
3.查看数据列表，检查数据是否已经删除","1.弹窗提示确认删除
2.弹窗消失，删除数据成功
3.数据已经删除",张鹏,2019/11/14 21:13,张鹏,2019/11/14 21:14
软件2,系统管理模块,,C160,系统配置,1.具备操作权限 2.进入相应的显示界面,步骤,"1.设置是否单一登录
2.检查“设置是否单一登录”
3.设置外观模板
4.检查“设置外观模板”
5.设置通知用的短信
6.检查“设置通知用的短信”
7.设置通知用的邮箱
8.检查“设置通知用的邮箱”","1.设置成功
2.功能无异常
3.设置成功
4.功能无异常
5.设置成功
6.功能无异常
7.设置成功
8.功能无异常",张鹏,2019/11/14 21:13,张鹏,2019/11/14 21:14
